LGA_CODE_2016,LGA,Non_school_qualifications_Postgraduate_Degree_Level_Males,Non_school_qualifications_Postgraduate_Degree_Level_Females,Non_school_qualifications_Postgraduate_Degree_Level_Persons,Non_school_qualifications_Graduate_Diploma_and_Graduate_Certificate_Level_Males,Non_school_qualifications_Graduate_Diploma_and_Graduate_Certificate_Level_Females,Non_school_qualifications_Graduate_Diploma_and_Graduate_Certificate_Level_Persons,Non_school_qualifications_Bachelor_Degree_Level_Males,Non_school_qualifications_Bachelor_Degree_Level_Females,Non_school_qualifications_Bachelor_Degree_Level_Persons,Non_school_qualifications_Advanced_Diploma_and_Diploma_Level_Males,Non_school_qualifications_Advanced_Diploma_and_Diploma_Level_Females,Non_school_qualifications_Advanced_Diploma_and_Diploma_Level_Persons,Non_school_qualifications_Certificate_Level_Certificate_III_and_IV_Level_Males,Non_school_qualifications_Certificate_Level_Certificate_III_and_IV_Level_Females,Non_school_qualifications_Certificate_Level_Certificate_III_and_IV_Level_Persons,Non_school_qualifications_Certificate_Level_Certificate_I_and_II_Level_Males,Non_school_qualifications_Certificate_Level_Certificate_I_and_II_Level_Females,Non_school_qualifications_Certificate_Level_Certificate_I_and_II_Level_Persons,Non_school_qualifications_Certificate_Level_Certificate_Level_nfd_Males,Non_school_qualifications_Certificate_Level_Certificate_Level_nfd_Females,Non_school_qualifications_Certificate_Level_Certificate_Level_nfd_Persons,Non_school_qualifications_Certificate_Level_Total_Males,Non_school_qualifications_Certificate_Level_Total_Females,Non_school_qualifications_Certificate_Level_Total_Persons,Migration_Lived_at_same_address_1_year_ago_Males,Migration_Lived_at_same_address_1_year_ago_Females,Migration_Lived_at_same_address_1_year_ago_Persons,Migration_Lived_at_Different_address_1_year_ago_Males,Migration_Lived_at_Different_address_1_year_ago_Females,Migration_Lived_at_Different_address_1_year_ago_Persons,Migration_Lived_at_same_address_5_years_ago_Males,Migration_Lived_at_same_address_5_years_ago_Females,Migration_Lived_at_same_address_5_years_ago_Persons,Migration_Lived_at_Different_address_5_years_ago_Males,Migration_Lived_at_Different_address_5_years_ago_Females,Migration_Lived_at_Different_address_5_years_ago_Persons
LGA10050,Albury,466,578,1047,304,546,843,1773,2935,4703,1395,2133,3530,5437,2897,8334,211,430,644,311,575,888,5964,3903,9869,18123,19387,37515,3903,4273,8177,11898,12578,24473,9166,10268,19440
LGA10130,Armidale Regional,921,824,1741,193,380,571,1261,2023,3285,628,1100,1729,2270,1209,3482,128,203,327,182,331,507,2575,1741,4317,10305,10815,21117,2385,2829,5215,6707,7047,13750,5522,6145,11664
LGA10250,Ballina,511,559,1071,295,452,741,1940,2792,4734,1236,2086,3324,4358,2024,6380,133,295,430,337,606,938,4826,2925,7753,15336,16332,31664,2919,3297,6219,10085,10890,20968,7474,8179,15652
LGA10300,Balranald,9,15,21,0,10,13,33,63,94,26,60,80,169,88,250,9,16,26,4,12,19,188,113,300,914,848,1761,114,118,236,669,609,1274,295,305,604
LGA10470,Bathurst Regional,454,499,951,226,424,645,1372,2382,3759,1023,1651,2672,4459,2048,6508,169,358,526,266,558,818,4892,2963,7856,14901,15366,30271,2964,3144,6112,9605,9773,19380,7427,7992,15418
LGA10550,Bega Valley,311,345,651,188,406,598,1124,1821,2947,893,1444,2331,3846,1649,5493,127,309,437,250,482,730,4230,2445,6669,12652,13183,25834,2013,2192,4205,8952,9121,18070,5190,5741,10929
LGA10600,Bellingen,129,184,314,74,154,228,505,896,1405,363,607,975,1368,600,1970,63,92,153,95,177,271,1526,872,2401,4752,5071,9817,845,937,1780,3348,3476,6827,2029,2285,4314
LGA10650,Berrigan,18,35,53,16,48,67,160,333,494,185,275,460,893,464,1355,24,59,82,47,92,133,959,612,1565,3230,3215,6438,479,534,1013,2269,2264,4533,1269,1325,2600
LGA10750,Blacktown,7236,6781,14020,1261,1725,2983,17585,22722,40305,10544,12429,22969,23256,12317,35577,1023,2017,3039,2157,3097,5249,26439,17425,43865,131207,134157,265365,21662,21607,43268,86357,88421,174777,57874,58797,116668
LGA10800,Bland,11,24,37,13,24,37,107,216,323,86,161,250,590,253,841,21,60,80,43,68,108,651,378,1023,2345,2296,4635,228,263,489,1749,1700,3454,701,729,1429
LGA10850,Blayney,47,63,112,32,54,85,189,362,547,147,276,428,784,405,1191,26,60,84,59,99,161,870,565,1432,2839,2893,5737,425,448,875,2011,1986,3999,1076,1190,2271
LGA10900,Blue Mountains,1936,2256,4193,706,1333,2034,4520,6521,11046,3049,4322,7368,7202,3434,10640,272,440,708,668,1050,1723,8143,4928,13068,30132,32368,62501,4082,4308,8390,21430,23052,44479,11670,12687,24361
LGA10950,Bogan,7,9,20,3,13,19,49,105,157,42,74,116,258,105,354,8,15,26,15,23,40,282,141,428,1039,1011,2046,123,151,277,780,728,1509,325,356,683
LGA11100,Botany Bay,1448,1393,2835,185,328,513,3202,3907,7113,1571,1953,3525,3136,1374,4511,121,192,313,284,429,710,3537,1992,5529,17164,17649,34811,3830,3638,7472,10603,11265,21873,9557,9204,18760
LGA11150,Bourke,7,20,27,3,8,8,48,114,165,56,91,144,165,77,247,11,24,31,16,13,32,189,120,305,881,863,1748,119,167,279,619,605,1219,314,359,668
LGA11200,Brewarrina,0,10,8,7,3,5,16,64,82,24,36,65,93,47,136,20,22,46,6,10,18,121,76,203,634,630,1266,88,88,183,489,497,985,167,173,339
LGA11250,Broken Hill,66,124,192,63,112,178,300,595,893,299,506,804,1976,907,2881,70,159,224,81,208,292,2123,1277,3399,6781,7126,13905,915,1024,1938,5223,5447,10669,2117,2414,4535
