LGA_CODE_2016,LGA,Persons_aged_15_years_and_over_Males,Persons_aged_15_years_and_over_Females,Persons_aged_15_years_and_over_Persons,Labour_force_status_Employed_worked_full_time_Males,Labour_force_status_Employed_worked_full_time_Females,Labour_force_status_Employed_worked_full_time_Persons,Labour_force_status_Employed_worked_part_time_Males,Labour_force_status_Employed_worked_part_time_Females,Labour_force_status_Employed_worked_part_time_Persons,Labour_force_status_Employed_away_from_work_Males,Labour_force_status_Employed_away_from_work_Females,Labour_force_status_Employed_away_from_work_Persons,Labour_force_status_Unemployed_looking_for_work_Males,Labour_force_status_Unemployed_looking_for_work_Females,Labour_force_status_Unemployed_looking_for_work_Persons,Labour_force_status_Total_labour_force_Males,Labour_force_status_Total_labour_force_Females,Labour_force_status_Total_labour_force_Persons,Labour_force_status_Not_in_the_labour_force_Males,Labour_force_status_Not_in_the_labour_force_Females,Labour_force_status_Not_in_the_labour_force_Persons,Labour_force_status_Percent_Unemployment_Males,Labour_force_status_Percent_Unemployment_Females,Labour_force_status_Percent_Unemployment_Persons,Labour_force_status_Percent_Labour_force_participation_Males,Labour_force_status_Percent_Labour_force_participation_Females,Labour_force_status_Percent_Labour_force_participation_Persons,Labour_force_status_Percent_Employment_to_population_Males,Labour_force_status_Percent_Employment_to_population_Females,Labour_force_status_Percent_Employment_to_population_Persons
LGA10050,Albury,19759,21704,41468,8745,4856,13599,2345,5738,8084,534,691,1224,896,787,1684,12515,12071,24587,5767,8087,13853,7.2,6.5,6.8,63.3,55.6,59.3,58.8,52,55.2
LGA10130,Armidale Regional,11545,12567,24115,4335,2793,7126,1585,2875,4459,325,407,736,554,476,1032,6806,6551,13359,3810,5021,8834,8.1,7.3,7.7,59,52.1,55.4,54.1,48.3,51.1
LGA10250,Ballina,16498,18363,34860,5843,3540,9382,2467,4676,7140,444,494,939,623,459,1086,9380,9169,18550,5851,7788,13639,6.6,5,5.9,56.9,49.9,53.2,53.1,47.4,50.1
LGA10300,Balranald,922,879,1801,419,194,614,93,212,302,37,29,63,30,28,55,577,456,1041,230,321,552,5.2,6.1,5.3,62.6,51.9,57.8,59.5,49.5,54.4
LGA10470,Bathurst Regional,16480,16703,33181,6989,4178,11165,1781,4144,5923,478,606,1079,645,518,1162,9893,9437,19332,5396,6023,11424,6.5,5.5,6,60,56.5,58.3,56.1,53.5,54.8
LGA10550,Bega Valley,13549,14437,27994,4458,2497,6957,1792,3508,5298,437,461,895,418,329,750,7101,6795,13905,5406,6542,11948,5.9,4.8,5.4,52.4,47.1,49.7,49.4,44.8,47
LGA10600,Bellingen,5030,5433,10465,1508,880,2386,834,1369,2210,138,162,298,226,160,378,2697,2574,5273,1993,2499,4489,8.4,6.2,7.2,53.6,47.4,50.4,49.3,44.4,46.8
LGA10650,Berrigan,3483,3532,7018,1271,621,1895,309,822,1132,140,120,258,92,74,165,1814,1633,3450,1321,1543,2864,5.1,4.5,4.8,52.1,46.2,49.2,49.4,44.3,46.8
LGA10750,Blacktown,128170,132134,260306,63968,38436,102402,14754,26539,41295,3745,4023,7771,5909,5998,11907,88377,74994,163377,33296,50446,83745,6.7,8,7.3,69,56.8,62.8,64.3,52.2,58.2
LGA10800,Bland,2366,2363,4725,1092,519,1609,233,529,764,84,84,168,60,37,95,1469,1169,2635,626,896,1526,4.1,3.2,3.6,62.1,49.5,55.8,59.6,47.9,53.8
