LGA_CODE_2021,LGA,Highest_year_of_school_completed_Year_12_or_equivalent_Males,Highest_year_of_school_completed_Year_12_or_equivalent_Females,Highest_year_of_school_completed_Year_12_or_equivalent_Persons,Highest_year_of_school_completed_Year_11_or_equivalent_Males,Highest_year_of_school_completed_Year_11_or_equivalent_Females,Highest_year_of_school_completed_Year_11_or_equivalent_Persons,Highest_year_of_school_completed_Year_10_or_equivalent_Males,Highest_year_of_school_completed_Year_10_or_equivalent_Females,Highest_year_of_school_completed_Year_10_or_equivalent_Persons,Highest_year_of_school_completed_Year_9_or_equivalent_Males,Highest_year_of_school_completed_Year_9_or_equivalent_Females,Highest_year_of_school_completed_Year_9_or_equivalent_Persons,Highest_year_of_school_completed_Year_8_or_below_Males,Highest_year_of_school_completed_Year_8_or_below_Females,Highest_year_of_school_completed_Year_8_or_below_Persons,Highest_year_of_school_completed_Did_not_go_to_school_Males,Highest_year_of_school_completed_Did_not_go_to_school_Females,Highest_year_of_school_completed_Did_not_go_to_school_Persons,Count_of_Persons_in_occupied_private_dwellings_Males,Count_of_Persons_in_occupied_private_dwellings_Females,Count_of_Persons_in_occupied_private_dwellings_Persons,Count_of_Persons_in_other_dwellings_Males,Count_of_Persons_in_other_dwellings_Females,Count_of_Persons_in_other_dwellings_Persons
LGA10050,Albury,9419,11482,20904,2479,2519,4999,5511,5558,11067,1668,1566,3239,950,972,1924,193,213,403,24950,26778,51728,1967,2135,4106
LGA10180,Armidale,5734,6767,12505,738,726,1465,2383,2318,4706,722,715,1436,512,442,955,85,116,205,12089,12814,24900,1866,2184,4042
LGA10250,Ballina,8494,10015,18513,1392,1413,2808,5030,5440,10476,1360,1414,2774,754,712,1471,55,53,112,20797,22312,43109,1483,1696,3178
LGA10300,Balranald,247,329,578,102,99,200,218,173,392,91,58,148,83,63,146,5,7,14,916,911,1831,268,205,468
LGA10470,Bathurst Regional,7380,8963,16347,1300,1233,2531,4960,4491,9452,1264,1286,2551,734,625,1363,58,64,121,19287,19949,39237,2736,1717,4451
LGA10500,Bayside,49508,50568,100078,3704,3146,6852,9360,8861,18219,2256,2340,4589,2684,3544,6228,1033,1469,2505,81849,82714,164558,5391,5086,10474
LGA10550,Bega Valley,5895,7243,13140,1417,1497,2914,4293,4049,8342,1194,1043,2237,744,620,1373,44,32,74,15958,16688,32644,1874,1732,3611
LGA10600,Bellingen,2202,2858,5057,414,372,788,1495,1393,2892,468,432,907,220,210,433,23,15,34,5843,6237,12079,679,721,1399
LGA10650,Berrigan,997,1327,2323,498,502,999,974,877,1851,415,341,751,285,206,492,3,8,15,3688,3808,7500,486,502,984
LGA10750,Blacktown,92260,96597,188860,8320,7723,16046,26035,24956,50989,7297,7337,14638,5197,6200,11403,1610,2315,3930,186285,188405,374682,11244,10408,21652
