LGA_CODE_2021,LGA,Highest_non_school_qualifications_Postgraduate_Degree_Level_Males,Highest_non_school_qualifications_Postgraduate_Degree_Level_Females,Highest_non_school_qualifications_Postgraduate_Degree_Level_Persons,Highest_non_school_qualifications_Graduate_Diploma_and_Graduate_Certificate_Level_Males,Highest_non_school_qualifications_Graduate_Diploma_and_Graduate_Certificate_Level_Females,Highest_non_school_qualifications_Graduate_Diploma_and_Graduate_Certificate_Level_Persons,Highest_non_school_qualifications_Bachelor_Degree_Level_Males,Highest_non_school_qualifications_Bachelor_Degree_Level_Females,Highest_non_school_qualifications_Bachelor_Degree_Level_Persons,Highest_non_school_qualifications_Advanced_Diploma_and_Diploma_Level_Males,Highest_non_school_qualifications_Advanced_Diploma_and_Diploma_Level_Females,Highest_non_school_qualifications_Advanced_Diploma_and_Diploma_Level_Persons,Highest_non_school_qualifications_Certificate_Level_Certificate_III_and_IV_Level_Males,Highest_non_school_qualifications_Certificate_Level_Certificate_III_and_IV_Level_Females,Highest_non_school_qualifications_Certificate_Level_Certificate_III_and_IV_Level_Persons,Highest_non_school_qualifications_Certificate_Level_Certificate_I_and_II_Level_Males,Highest_non_school_qualifications_Certificate_Level_Certificate_I_and_II_Level_Females,Highest_non_school_qualifications_Certificate_Level_Certificate_I_and_II_Level_Persons,Highest_non_school_qualifications_Certificate_Level_Certificate_Level_nfd_Males,Highest_non_school_qualifications_Certificate_Level_Certificate_Level_nfd_Females,Highest_non_school_qualifications_Certificate_Level_Certificate_Level_nfd_Persons,Highest_non_school_qualifications_Certificate_Level_Total_Certificate_Level_Males,Highest_non_school_qualifications_Certificate_Level_Total_Certificate_Level_Females,Highest_non_school_qualifications_Certificate_Level_Total_Certificate_Level_Persons
LGA10050,Albury,745,935,1679,355,743,1101,2253,3716,5967,1675,2491,4166,5925,3510,9427,221,405,626,308,565,875,6452,4478,10926
LGA10180,Armidale Regional,1006,1106,2111,219,448,666,1433,2146,3580,666,1147,1814,2296,1268,3556,148,223,375,156,298,451,2595,1790,4384
LGA10250,Ballina,686,923,1608,310,640,951,2545,3709,6248,1569,2437,4002,4821,2528,7347,162,316,475,321,622,940,5303,3461,8767
LGA10300,Balranald,8,9,19,5,6,11,35,75,112,33,64,98,176,109,285,4,15,17,8,11,14,184,131,320
LGA10470,Bathurst Regional,653,710,1364,253,519,764,1676,2908,4585,1119,1843,2961,4762,2668,7429,198,343,540,299,531,833,5263,3540,8805
LGA10500,Bayside,6763,7390,14154,958,1517,2476,15461,17966,33429,7096,8293,15394,10627,5060,15683,467,741,1205,1110,1727,2839,12206,7529,19730
LGA10550,Bega Valley,472,604,1072,261,569,829,1470,2320,3791,1056,1701,2756,4234,2232,6470,140,284,423,255,417,678,4633,2937,7566
LGA10600,Bellingen,192,273,462,106,239,342,632,1027,1651,388,680,1068,1468,716,2182,32,101,132,78,149,229,1581,964,2552
LGA10650,Berrigan,31,42,73,34,79,106,186,402,589,196,309,505,955,525,1478,32,70,104,51,66,115,1036,664,1703
LGA10750,Blacktown,12738,12728,25463,1821,2929,4749,26611,32857,59472,12926,14519,27446,24081,14475,38551,1132,2050,3178,2228,3172,5402,27442,19700,47137
LGA10800,Bland,17,31,46,16,38,54,113,248,363,97,191,288,609,322,930,19,59,77,21,49,75,649,428,1073
LGA10850,Blayney,62,92,152,35,82,116,238,428,662,167,310,475,871,490,1367,35,72,116,52,81,136,964,647,1614
LGA10900,Blue Mountains,2539,3266,5806,849,1592,2438,5352,7475,12828,3119,4358,7471,7285,3666,10950,280,478,757,628,962,1587,8197,5101,13297
LGA10950,Bogan,14,21,33,6,15,23,51,119,169,38,63,103,251,128,380,6,14,18,11,26,42,272,162,439
LGA11150,Bourke,18,21,34,4,12,20,56,126,180,51,76,127,154,89,248,12,9,18,10,13,23,177,113,290
LGA11200,Brewarrina,8,15,19,7,8,9,20,50,75,16,35,53,74,42,115,5,18,15,5,4,6,78,55,133
LGA11250,Broken Hill,99,157,252,60,167,224,326,717,1042,338,552,893,1951,1041,2989,71,130,198,84,169,254,2106,1342,3446
LGA11300,Burwood,1977,2140,4118,236,433,674,4073,4529,8604,1756,1981,3740,1541,923,2465,82,155,237,208,290,498,1835,1369,3198
LGA11350,Byron,762,1123,1881,272,542,814,2653,3840,6491,1259,2108,3359,2982,1410,4395,92,193,281,251,378,629,3329,1981,5306
LGA11400,Cabonne,148,204,354,51,130,185,494,872,1367,347,590,939,1509,749,2255,54,115,173,75,138,216,1638,1006,2644
LGA11450,Camden,1971,2559,4527,478,1120,1601,5146,7974,13117,4012,5755,9771,12018,6162,18182,305,711,1016,795,1185,1984,13117,8062,21180
