LGA_CODE_2021,LGA,Labour_force_status_Employed_worked_full_time_Males,Labour_force_status_Employed_worked_full_time_Females,Labour_force_status_Employed_worked_full_time_Persons,Labour_force_status_Employed_worked_part_time_Males,Labour_force_status_Employed_worked_part_time_Females,Labour_force_status_Employed_worked_part_time_Persons,Labour_force_status_Employed_away_from_work_Males,Labour_force_status_Employed_away_from_work_Females,Labour_force_status_Employed_away_from_work_Persons,Labour_force_status_Unemployed_looking_for_work_Males,Labour_force_status_Unemployed_looking_for_work_Females,Labour_force_status_Unemployed_looking_for_work_Persons,Labour_force_status_Percent_Unemployment_Males,Labour_force_status_Percent_Unemployment_Females,Labour_force_status_Percent_Unemployment_Persons,Labour_force_status_Percent_Labour_force_participation_Males,Labour_force_status_Percent_Labour_force_participation_Females,Labour_force_status_Percent_Labour_force_participation_Persons,Labour_force_status_Percent_Employment_to_population_Males,Labour_force_status_Percent_Employment_to_population_Females,Labour_force_status_Percent_Employment_to_population_Persons
LGA10050,Albury,9686,5795,15485,2913,6485,9392,613,861,1470,735,585,1326,5.3,4.3,4.8,64.3,57.6,60.8,60.9,55.1,57.9
LGA10180,Armidale,4405,2961,7367,1697,2878,4573,352,475,823,388,330,715,5.6,5,5.3,60.1,53.1,56.4,56.7,50.5,53.4
LGA10250,Ballina,6474,4124,10594,3195,5530,8725,661,790,1454,398,341,736,3.7,3.2,3.4,58.5,52.8,55.5,56.4,51.1,53.6
LGA10300,Balranald,412,213,629,89,188,279,33,31,60,21,18,31,3.3,3.3,3.3,62.3,50.8,56.6,60.3,49.1,54.7
LGA10470,Bathurst Regional,7497,4954,12449,2260,4505,6763,557,689,1248,476,391,863,4.4,3.7,4.1,61.1,59.4,60.2,58.4,57.2,57.8
LGA10500,Bayside,27656,21299,48955,11456,14487,25942,5074,5162,10236,2783,2218,5002,5.9,5.1,5.5,63.7,57.6,60.6,59.9,54.6,57.3
LGA10550,Bega Valley,4736,2878,7613,2197,4031,6233,532,598,1131,319,229,548,4.1,3,3.5,52.5,49.3,50.9,50.3,47.9,49.1
LGA10600,Bellingen,1554,976,2532,913,1552,2467,168,199,364,171,132,303,6.1,4.6,5.3,53,49.8,51.4,49.8,47.5,48.6
LGA10650,Berrigan,1308,677,1979,363,856,1223,118,130,255,60,48,111,3.4,2.8,3.1,51.3,46.1,48.7,49.6,44.8,47.1
LGA10750,Blacktown,60499,43940,104443,18616,27694,46306,13433,10746,24184,5703,5109,10816,5.8,5.8,5.8,64.8,56.4,60.6,61,53.2,57
LGA10800,Bland,1061,540,1607,210,558,772,93,78,168,47,27,77,3.2,2.5,2.9,63.1,54.5,58.8,61.1,53.2,57.2
LGA10850,Blayney,1363,814,2171,344,756,1098,122,107,226,89,69,159,4.6,4,4.3,65,57.6,61.2,62,55.3,58.6
