Local Government Area,Urban/Rural,Offence type,Jan - Dec 2016,Jan - Dec 2017,Jan - Dec 2018,Jan - Dec 2019,Jan - Dec 2020,Jan - Dec 2021,Jan - Dec 2022,"Rate per 100,000 population Jan - Dec 2022",2 year trend and annual percent change (Jan 2021-Dec 2022),5 year trend and average annual percent change (Jan 2018-Dec 2022),LGA_Population_2016,LGA_Population_2021
Albury,Urban,Murder *,,,1,0,0,1,1,1.8,nc,nc,,
Albury,Urban,Attempted murder,,,0,1,0,1,0,,nc,nc,,
Albury,Urban,"Murder accessory, conspiracy",,,0,0,0,0,0,,nc,nc,,
Albury,Urban,Manslaughter *,,,0,0,0,0,0,,nc,nc,,
Albury,Urban,Domestic violence related assault,284,279,286,297,328,405,403,732,Stable,Up 9.0%,51076,56093
Albury,Urban,Non-domestic violence related assault,,,332,352,354,339,415,753.8,Stable,Up 5.7%,,
Albury,Urban,Assault Police,,,30,30,34,41,36,65.4,Stable,Stable,,
Albury,Urban,Sexual assault,,,51,67,76,66,78,141.7,Stable,Up 11.2%,,
Albury,Urban,"Sexual touching, sexual act and other sexual offences",,,84,88,70,75,76,138,Stable,Stable,,
Albury,Urban,Abduction and kidnapping,,,1,6,5,1,4,7.3,nc,nc,,
Albury,Urban,Robbery without a weapon,,,17,16,7,14,10,18.2,nc,nc,,
Albury,Urban,Robbery with a firearm,,,2,0,2,1,0,,nc,nc,,
Albury,Urban,Robbery with a weapon not a firearm,,,8,8,10,9,6,10.9,nc,nc,,
Albury,Urban,Blackmail and extortion,,,0,1,0,1,3,5.4,nc,nc,,
Albury,Urban,"Intimidation, stalking and harassment",,,291,331,417,516,571,1037.1,Stable,Up 18.4%,,
Albury,Urban,Other offences against the person,,,7,21,21,18,13,23.6,nc,nc,,
Albury,Urban,Break and enter dwelling,,,324,434,366,235,258,468.6,Stable,Down 5.5%,,
Albury,Urban,Break and enter non-dwelling,,,127,153,81,70,147,267,Up 110.0%,Stable,,
Albury,Urban,Receiving or handling stolen goods,,,81,87,96,93,118,214.3,Stable,Stable,,
Albury,Urban,Motor vehicle theft,,,128,193,194,133,186,337.8,Stable,Stable,,
Albury,Urban,Steal from motor vehicle,,,523,739,663,562,707,1284.2,Stable,Stable,,
Albury,Urban,Steal from retail store,,,401,314,268,255,232,421.4,Stable,Down 12.8%,,
Albury,Urban,Steal from dwelling,,,240,242,252,235,170,308.8,Stable,Down 8.3%,,
Albury,Urban,Steal from person,,,30,13,12,13,21,38.1,nc,nc,,
Albury,Urban,Stock theft,,,1,0,0,1,2,3.6,nc,nc,,
Albury,Urban,Fraud,,,321,511,369,382,513,931.8,Up 34.3%,Up 12.4%,,
Albury,Urban,Other theft,,,219,237,173,150,203,368.7,Up 35.3%,Stable,,
Albury,Urban,Arson,,,59,57,60,48,59,107.2,Stable,Stable,,
Albury,Urban,Malicious damage to property,,,630,756,792,713,717,1302.3,Stable,Stable,,
Albury,Urban,Possession and/or use of cocaine,,,4,6,4,15,15,27.2,nc,nc,,
Albury,Urban,Possession and/or use of narcotics,,,2,4,1,3,2,3.6,nc,nc,,
Albury,Urban,Possession and/or use of cannabis,,,109,146,197,170,175,317.9,Stable,Up 12.6%,,
Albury,Urban,Possession and/or use of amphetamines,,,68,96,99,102,108,196.2,Stable,Stable,,
Albury,Urban,Possession and/or use of ecstasy,,,15,11,5,6,10,18.2,nc,nc,,
Albury,Urban,Possession and/or use of other drugs,,,15,25,38,51,80,145.3,Stable,nc,,
Albury,Urban,"Dealing, trafficking in cocaine",,,4,0,8,6,2,3.6,nc,nc,,
Albury,Urban,"Dealing, trafficking in narcotics",,,0,0,0,0,0,,nc,nc,,
Albury,Urban,"Dealing, trafficking in cannabis",,,5,18,8,12,1,1.8,nc,nc,,
Albury,Urban,"Dealing, trafficking in amphetamines",,,210,86,12,106,54,98.1,Stable,nc,,
Albury,Urban,"Dealing, trafficking in ecstasy",,,4,8,23,3,0,,nc,nc,,
Albury,Urban,"Dealing, trafficking in other drugs",,,0,7,1,5,4,7.3,nc,nc,,
